t s,Frequency,Position m,Velocity m/s,Magnitude,Acceleration m/s^2,Total Force N,Spring Force N,Damping Force N,Electromagnetic Force N,Signal V,High-Passed Signal,High-Passed Magnitude,dt,Mms,Spring Coefficent N/m,Damping Exponent,Damping coefficient N/m/s,Electromagnetic Force Coefficient N/V,Highpass Cancellation Scale Factor,Fs (hz)
0.00002267573696,1.000052214,0,0,,0,0,0,0,0,0,0,,0.00002267573696,0.0035,0,1,1,1,30,0
0.00004535147392,1.000104431,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.00006802721088,1.000156651,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.00009070294785,1.000208873,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0001133786848,1.000261098,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0001360544218,1.000313326,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0001587301587,1.000365556,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0001814058957,1.00041779,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0002040816327,1.000470026,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0002267573696,1.000522264,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0002494331066,1.000574506,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0002721088435,1.00062675,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0002947845805,1.000678997,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0003174603175,1.000731247,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0003401360544,1.000783499,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0003628117914,1.000835754,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0003854875283,1.000888012,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0004081632653,1.000940272,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0004308390023,1.000992536,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0004535147392,1.001044802,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0004761904762,1.00109707,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0004988662132,1.001149342,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0005215419501,1.001201616,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0005442176871,1.001253893,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.000566893424,1.001306173,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.000589569161,1.001358455,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.000612244898,1.00141074,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0006349206349,1.001463028,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0006575963719,1.001515319,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0006802721088,1.001567612,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0007029478458,1.001619908,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0007256235828,1.001672207,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
0.0007482993197,1.001724508,0,0,#NUM!,0,0,0,0,0,0,0,#NUM!,,,,,,,,
